partition_1,partition_0,search_query,avg_polarity,avg_followers,avg_friends,avg_retweet_count,word_freq,count,top_tweets,create_date
Azerbaijan,Politics,#Azerbaijan,-0.47256666666666663,74.33333333333333,133.66666666666666,0.0,"[('also', 2), ('120', 1), ('mm', 1), ('d-30', 1), ('howitzers', 1), ('used', 1), ('armed', 1), ('forces', 1), ('soldiers', 1), ('defending', 1), ('territories,but', 1), ('civilians,children,elders!', 1), ('breach', 1), ('end', 1), ('failure', 1), ('(🇦🇲)', 1), ('congress,legislative', 1), ('proposals', 1), ('🇦🇿raised', 1), ('blocked‼️', 1), ('✅for', 1), ('1st', 1), ('time', 1), ('amendment', 1), ('adopted', 1), ('occupied', 1), (""int'l"", 1), ('recognized', 1), ('territories', 1), ('‼️', 1)]",3,"[{'max_retweet_count': 0, 'text': '#Aggressor is misleading all On 1 hand,🇦🇲 claims it supports #peace,on the other hand,🇦🇲is violating #ceasefire &amp;shelling #civil objects&amp;civilians in #Tovuz district of #Azerbaijan.Enough of lies!is tired of #Armenia|n deceptions! #StopArmenianOccupation #KarabakhIsAzerbaijan', 'count': 1, 'avg_polarity': -0.801, 'created_at': '2020-08-09 00:03:26'}, {'max_retweet_count': 0, 'text': ""120 mm mortars&amp; D-30 howitzers were used by #Armenia|n armed forces not only against #Azerbaijan|i soldiers defending their territories,but also civilians,children,elders! It's not only breach of #IHL,but also end of #HUMANITY‼️ #KarabakhisAzerbaijan #AzerbaijanWantsJustice"", 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:05:03'}, {'max_retweet_count': 0, 'text': ""FAILURE OF (🇦🇲) In the #US Congress,legislative proposals against 🇦🇿raised by #Armenians were blocked‼️ ✅For the 1st time Amendment was adopted against #Armenia who occupied int'l recognized territories of #Azerbaijan ⬇️https://t.co/xknUJglFdg #KarabakhIsAzerbaijan ‼️"", 'count': 1, 'avg_polarity': -0.617, 'created_at': '2020-08-09 00:05:02'}]",2020-08-09
Bahamas,Politics,#Bahamas,-0.4567,3.0,0.0,0.0,"[('time', 1), ('resources', 1), ('view', 1), ('footage', 1), ('care?', 1), ('wife,', 1), ('sister,', 1), ('mother', 1), ('would', 1), ('feel?', 1)]",1,"[{'max_retweet_count': 0, 'text': ""@RBPFPolice Do you not have the time or the resources to view the footage or is it that you just don't care? If this was your wife, sister, mother how would you feel? #fishy #police #corruption #nassau #bahamas #justiceforluann https://t.co/wqPYA2Dysf"", 'count': 1, 'avg_polarity': -0.457, 'created_at': '2020-08-09 00:00:02'}]",2020-08-09
Belarus,Politics,#Belarus,0.35595,3629.375,1686.5,0.125,"[('people', 3), ('looks', 2), ('like', 2), ('unconfirmed', 2), ('near', 2), ('way', 1), ('suppress', 1), ('free', 1), ('fair', 1), ('election', 1), ('rather', 1), ('conduct', 1), ('one.', 1), ('opposition', 1), ('campaign', 1), ('manager', 1), (""'detained'"", 1), ('eve', 1), ('vote', 1), ('there’s', 1), ('claiming', 1), ('suburban', 1), ('transit', 1), ('within', 1), ('shut', 1), ('since', 1), ('6pm', 1), ('local', 1), ('time', 1), ('checkpoints', 1)]",8,"[{'max_retweet_count': 1, 'text': 'This looks like a way to suppress a free and fair election rather than conduct one. #Belarus https://t.co/sIX2Y5OJrI', 'count': 1, 'avg_polarity': 0.796, 'created_at': '2020-08-09 00:20:21'}, {'max_retweet_count': 0, 'text': ""#Belarus: Opposition campaign manager 'detained' on eve of vote https://t.co/eQtI4Ob9B4"", 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:15:21'}, {'max_retweet_count': 0, 'text': ""@HannaLiubakova Well, looks like @DarthPutinKGB, who is the real president of #Belarus, not #Lukashenko, took a lesson from @realDonaldTrump's @DHS_Wolf and his unidentified @DHSgov goons."", 'count': 1, 'avg_polarity': 0.557, 'created_at': '2020-08-09 00:08:55'}, {'max_retweet_count': 0, 'text': '@QuickTake ! AWESOME!  #WomenPower #Women #BelarusPresidentialElection  #Belarus  #WonderWoman  #WonderWOMEN  #politics  (#Russia) #EU #UK #USA', 'count': 1, 'avg_polarity': 0.752, 'created_at': '2020-08-09 00:12:40'}, {'max_retweet_count': 0, 'text': 'Glad I visited #Belarus before it became ultra corrupt. Nice people pity about the #dictatorship No need to go back.', 'count': 1, 'avg_polarity': 0.34, 'created_at': '2020-08-09 00:08:13'}, {'max_retweet_count': 0, 'text': 'Interesting how people react to un-identified folks ""detaining"" random people in the street and hustling them into rented vans.. when it\'s not the US. #Belarus #Minsk (elections tomorrow... seems a bit crazy). https://t.co/3t8vaP59qZ', 'count': 1, 'avg_polarity': 0.402, 'created_at': '2020-08-09 00:11:52'}, {'max_retweet_count': 0, 'text': 'Is #Belarus near #Portland by any chance? https://t.co/qBxDc0MmVI', 'count': 1, 'avg_polarity': 0.25, 'created_at': '2020-08-09 00:01:05'}, {'max_retweet_count': 0, 'text': 'There’s now unconfirmed reports claiming that all suburban transit within #Minsk has been shut down since 6PM local time with more unconfirmed reports of checkpoints erected along major thoroughfares near city limits. #Belarus #BelarusPresidentialElection  https://t.co/dKkSrggTIL', 'count': 1, 'avg_polarity': -0.25, 'created_at': '2020-08-09 00:15:17'}]",2020-08-09
Bermuda,Politics,#Bermuda,0.0,2956.3333333333335,493.0,2.0,"[('hot', 1), ('days', 1), ('needs', 1), ('cold', 1), ('one!', 1), ('\U0001f975🍧💙', 1), ('cotton', 1), ('candy', 1), ('🍭📸', 1), ('|', 1), ('unsolved', 1), ('mystery', 1), ('doosari', 1), ('jurab', 1), ('kahan', 1), ('hain', 1), ('atill', 1), ('remains', 1), ('first', 1), ('one', 1)]",3,"[{'max_retweet_count': 6, 'text': 'Cotton candy 🍭📸 .@StarCommodity | https://t.co/Eh2SpAiTmw #Bermuda #sunsets #pantone https://t.co/PHSq4I4c7R', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:09:10'}, {'max_retweet_count': 0, 'text': '#BermudaTriangleisThe2nd unsolved mystery where as doosari jurab kahan hain atill remains the first one #Bermuda', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:06:39'}, {'max_retweet_count': 0, 'text': 'Hot #Bermuda days needs a cold one! \U0001f975🍧💙 https://t.co/dyY0zS8GH8', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:29:10'}]",2020-08-09
Bolivia,Politics,#Bolivia,-0.005966666666666648,2816.1666666666665,1051.3333333333333,1.6666666666666667,"[('de', 2), ('people', 2), ('this:', 1), ('solidarity', 1), ('bolivian', 1), ('people.', 1), ('del', 1), ('convento', 1), ('tarata.', 1), ('beautiful', 1), ('colonial', 1), ('architecture.', 1), ('situation', 1), ('despite', 1), ('“', 1), ('dialogue”', 1), ('militias', 1), ('continue', 1), ('perform', 1), ('acts', 1), ('terrorism', 1), ('humble', 1), ('i’m', 1), ('receiving', 1), ('information', 1), ('8', 1), ('kidnapped', 1), ('pro-más', 1), ('protesters', 1), ('near', 1)]",6,"[{'max_retweet_count': 9, 'text': '#Bolivia I’m receiving information of 8 people kidnapped by pro-MÁS protesters near El Torno, one of them has a wound in the head, another is an elderly lady. I was told police are already in the place. I hope this is solved quickly &amp; with no casualties.', 'count': 1, 'avg_polarity': 0.226, 'created_at': '2020-08-09 00:24:02'}, {'max_retweet_count': 1, 'text': 'After 4 deferrals for elections in #Bolivia within the last 9 months 🗳️,  &amp; a poor response to COVID19 from the de facto govt which has the highest mortality/infection rate of the region.  They’re NOW unleashing military forces into widespread protestors all over the country 😩😢', 'count': 1, 'avg_polarity': -0.477, 'created_at': '2020-08-09 00:10:26'}, {'max_retweet_count': 0, 'text': '#SocialistSunday  #Bolivia This: https://t.co/Nohc1RnHMM', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:32:37'}, {'max_retweet_count': 0, 'text': '#SocialistSunday  Solidarity with the Bolivian people. #Bolivia https://t.co/OKg6R5QT6E', 'count': 1, 'avg_polarity': 0.296, 'created_at': '2020-08-09 00:31:41'}, {'max_retweet_count': 0, 'text': '@JhanisseVDaza @antonioguterres @ONU_es @UN_OCT this is the situation in #Bolivia - despite “ dialogue” militias of @evoespueblo continue to perform acts of terrorism against humble people', 'count': 1, 'avg_polarity': -0.681, 'created_at': '2020-08-09 00:26:08'}, {'max_retweet_count': 0, 'text': 'A #throwback del Convento #museo de Tarata. Beautiful colonial artifacts and architecture. . . . . #cochabamba #Bolivia #culture #cityfinds #architecture #history #travel_captures #trip #piano #roadtrip… https://t.co/73DHDAkuJz', 'count': 1, 'avg_polarity': 0.599, 'created_at': '2020-08-09 00:26:57'}]",2020-08-09
Brazil,Politics,#Brazil,0.16278,12535.4,2246.3333333333335,0.13333333333333333,"[('•', 8), ('country', 2), ('🇧🇷', 2), ('medical', 2), ('3', 2), ('day', 2), ('happy', 2), ('free', 1), ('shipping', 1), ('$99', 1), ('wine', 1), ('marvel', 1), ('tastes', 1), ('like', 1), ('bordeaux', 1), ('it’s', 1), ('beautiful', 1), (',', 1), ('reminded', 1), ('much', 1), ('it,', 1), ('medium-rare', 1), ('shell…', 1), ('sars-cov-2', 1), ('wait', 1), ('odds,', 1), ('💰', 1), ('stake', 1), ('2', 1), ('units', 1)]",15,"[{'max_retweet_count': 1, 'text': 'Happy fathers day #Brazil!!! Feliz #DiaDosPais #Brasil!!! https://t.co/Rbr1IUh5jy', 'count': 1, 'avg_polarity': 0.707, 'created_at': '2020-08-09 00:17:50'}, {'max_retweet_count': 1, 'text': 'Wait for odds, 💰 Stake - 2 units  #Inplay #Brazil 🇧🇷 https://t.co/5YKQNYddWi', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:34:41'}, {'max_retweet_count': 0, 'text': '#Rabelais wine is a marvel from @thelemawines . Tastes like a Bordeaux but it’s from the beautiful #SouthAfrica , a country that reminded much of my #brazil.  With it, a medium-rare shell… https://t.co/ggIAgHQPdD', 'count': 1, 'avg_polarity': 0.84, 'created_at': '2020-08-09 00:40:09'}, {'max_retweet_count': 0, 'text': '@BasedPoland @jjauthor 1 act of kindness will be remembered for a lifetime #Brazil #auspol', 'count': 1, 'avg_polarity': 0.459, 'created_at': '2020-08-09 00:06:16'}, {'max_retweet_count': 0, 'text': '@lakotalaw This plague is brutal.  God bless him.  Prayers.🙏🕊️  #Brazil', 'count': 1, 'avg_polarity': -0.052, 'created_at': '2020-08-09 00:07:56'}, {'max_retweet_count': 0, 'text': '@witchieair Happy  #FathersDay #Brazil!!!', 'count': 1, 'avg_polarity': 0.678, 'created_at': '2020-08-09 00:19:58'}, {'max_retweet_count': 0, 'text': 'Almost hitting 20 Million mark   #coronavirus #coronarvirues #CoronaOutbreak  #Wuhan #China #COVID19 #India #COVID #coronavirusindia #CoronaVirusUpdate #ChineseVirus #WuhanVirus #US #Italy #Spain #Germany #France #UK #Iran #WHO #Covid_19 #COVID2019 #Russia #Brazil https://t.co/Pqle3P5NZl', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:29:32'}, {'max_retweet_count': 0, 'text': 'FREE SHIPPING over $99 #ecofriendly #fashionfriendly #stylish #classy #Vegan   https://t.co/0PTjqIOh0M  #germany #nigeria #africa #lagos #europe #brazil #canada #alaska #australia #america #south #toronto  #deutschland #anchorage #safari #sydney #asian # https://t.co/SHszfNsVjU', 'count': 1, 'avg_polarity': 0.617, 'created_at': '2020-08-09 00:45:49'}, {'max_retweet_count': 0, 'text': ""ONE HUNDRED THOUSAND dead from #COVID19 in #Brazil. And president Bolsonaro tweets about a soccer club's victory."", 'count': 1, 'avg_polarity': -0.649, 'created_at': '2020-08-09 00:28:52'}, {'max_retweet_count': 0, 'text': 'Proud of the Medical Association of Brazilian Lebanese Descendents 🇧🇷 🇱🇧 that have donated 200,000 $ and 3 tons of Medical Supplies to the hospitals of Lebanon!  #lebanon #Brazil #libano #LebanonExplosion #prayforlebanon https://t.co/XO6BwwzHAR', 'count': 1, 'avg_polarity': 0.525, 'created_at': '2020-08-09 00:32:40'}, {'max_retweet_count': 0, 'text': 'Single day highest number reported by India continuously for 3 days in a row.  #coronavirus #coronarvirues #CoronaOutbreak #Wuhan  #China #COVID19 #India #COVID #ChineseVirus  #WuhanVirus #US #Italy #Spain #Germany #France #UK  #Iran #WHO #Covid_19 #COVID2019 #Russia #Brazil https://t.co/g6swsuNXbw', 'count': 1, 'avg_polarity': 0.077, 'created_at': '2020-08-09 00:28:28'}, {'max_retweet_count': 0, 'text': 'South American country is the second hardest-hit nation in the global pandemic, after the US. #FMTNews #Brazil  https://t.co/5BL22s59QC', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:21:10'}, {'max_retweet_count': 0, 'text': 'They are already talking about #Brazil surpassing 100,000 deaths.  Smh they be moving fast asf with this shit', 'count': 1, 'avg_polarity': -0.761, 'created_at': '2020-08-09 00:33:46'}, {'max_retweet_count': 0, 'text': '• new show •  • spatial guestmix by Frank Mashkov • • 10 years • • e ae! •  #eae #deephouse #housemusic #np #deephousepodcast #deephousemusic #djmix #deephousemix #djlife #gig #brasil #brazil #southafrica #russia… https://t.co/m9lF6cmqrE', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:23:45'}, {'max_retweet_count': 0, 'text': '🇧🇷#Brasile #pandemic #Belize #coronavirusbrasil #Brazilië #Brasilien #BrazilCoronavirus #coronavirusbrazil #covid19brasil #Brazil #COVID_19 SARS-CoV-2  #Brasil #covid19 #Bolsonaro #SARSCoV2 #COVID19Brazil #COVID2019 #COVID19 #Coronavirus #Brazilian #Brésil https://t.co/P3ahkruLXz https://t.co/u1RKmcQhy6', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:37:00'}]",2020-08-09
Bulgaria,Politics,#Bulgaria,-0.039949999999999986,327.0,662.0,0.5,"[('police', 1), ('threatened', 1), ('clear', 1), ('us', 1), ('up,', 1), ('matter', 1), ('what,', 1), ('evening.', 1), ('despite', 1), ('storm', 1), ('tonight,', 1), ('people', 1), ('camp', 1), ('3am', 1), ('ever!', 1), ('bye,', 1), ('air', 1), ('quality', 1), ('index', 1), ('sofia,', 1), ('bulgaria', 1), ('03:03', 1), ('8/aug/2020', 1), ('60', 1), ('µg/m3.', 1), ('value', 1), ('10', 1), ('µg/m3', 1), ('norm', 1), ('classified', 1)]",2,"[{'max_retweet_count': 1, 'text': 'The police threatened to clear us up, no matter what, this evening. Despite the storm tonight, more people are at the camp at 3am than ever! Bye, @BoykoBorissov #protest #Bulgaria #resign #ostavka https://t.co/jqzd1q4IDu', 'count': 1, 'avg_polarity': -0.42, 'created_at': '2020-08-09 00:07:39'}, {'max_retweet_count': 0, 'text': 'The air quality index in Sofia, Bulgaria as of 03:03 on 8/Aug/2020 is 60 µg/m3. This value is 10 µg/m3 above the norm and classified as ⚠️ Moderate ⚠️. @FandakovaY @Stoli4naOb6tina #sofia #bulgaria #sofiabulgaria', 'count': 1, 'avg_polarity': 0.34, 'created_at': '2020-08-09 00:03:11'}]",2020-08-09
Cambodia,Politics,#Cambodia,0.34148333333333336,1532.3333333333333,545.6666666666666,0.16666666666666666,"[('cases', 4), ('new', 3), ('total', 2), ('time', 2), ('cambodia', 2), ('confirmed', 2), ('recovered', 2), ('2', 1), ('raising', 1), ('number', 1), ('248.', 1), ('beautiful', 1), ('beach', 1), ('national', 1), ('museum', 1), ('phnom', 1), ('penh', 1), ('nice', 1), ('little', 1), ('video', 1), ('kimleng', 1), ('sang', 1), ('photography', 1), ('guide', 1), ('tourists', 1), ('guide.', 1), ('uses', 1), ('free', 1), ('teach', 1), ('local', 1)]",6,"[{'max_retweet_count': 1, 'text': '#Cambodia reported 2 new imported cases of #COVID19, raising the total number to 248. https://t.co/SDcpSR7eCf', 'count': 1, 'avg_polarity': 0.077, 'created_at': '2020-08-09 00:40:49'}, {'max_retweet_count': 0, 'text': '#coronavirus update in #Cambodia. New cases confirmed 3, new recovered 1. Total cases in Cambodia confirmed 246, recovered 215, deaths 0. +1.23% daily cases increase, 3 reported today UTC time.', 'count': 1, 'avg_polarity': 0.318, 'created_at': '2020-08-09 00:05:16'}, {'max_retweet_count': 0, 'text': 'Nice little video from #BBCNews - Kimleng Sang a photography guide at #Angkor #Cambodia has no  tourists to guide. So uses his free time to teach local children English and #environmental protection.  https://t.co/O5UpbK4QlO', 'count': 1, 'avg_polarity': 0.633, 'created_at': '2020-08-09 00:22:09'}, {'max_retweet_count': 0, 'text': 'That time at the National Museum of Cambodia in Phnom Penh #phnompenh #cambodia #kh #memories #2005 https://t.co/bAjvTn6n6n', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:30:04'}, {'max_retweet_count': 0, 'text': 'The beautiful beach in Sihanukville,#Cambodia https://t.co/ahWLqF0eOd', 'count': 1, 'avg_polarity': 0.599, 'created_at': '2020-08-09 00:30:43'}, {'max_retweet_count': 0, 'text': 'ចាស់ /cah/ — old, mature; almost ripe (fruit) #khmer #cambodia #learnkhmer https://t.co/4LnEh0bkgl', 'count': 1, 'avg_polarity': 0.421, 'created_at': '2020-08-09 00:00:25'}]",2020-08-09
Cameroon,Politics,#Cameroon,0.8421333333333333,356.0,734.0,0.3333333333333333,"[('""hold', 1), ('hope""', 1), ('voices', 1), ('hope', 1), ('ft.', 1), ('kiriiahmekongo', 1), ('worldmusic', 1), ('inspirational', 1), ('dear', 1), ('african', 1), ('entrepreneurs,', 1), ('excited', 1), ('announce', 1), ('sign', 1), ('free', 1), ('mentorships', 1), ('lit!', 1), ('fry', 1), ('us', 1), ('plantain', 1), ('god', 1), ('bless', 1), ('smiles', 1), ('putting', 1), ('faces', 1), ('long', 1), ('time', 1)]",3,"[{'max_retweet_count': 1, 'text': 'Dear African entrepreneurs, I am excited to announce that you can now sign up for free mentorships on https://t.co/JzhT6eMdra.  #Africa #Entrepreneur #Startup #Nigeria #Ghana #Cameroon #Egypt', 'count': 1, 'avg_polarity': 0.807, 'created_at': '2020-08-09 00:11:18'}, {'max_retweet_count': 0, 'text': '""Hold On To Hope"" by Voices of Hope ft. KiriiahMekongo - https://t.co/QrccGwo2JU WorldMusic #Cameroon Inspirational', 'count': 1, 'avg_polarity': 0.844, 'created_at': '2020-08-09 00:41:16'}, {'max_retweet_count': 0, 'text': 'party is lit! @biggy237 fry us we are your plantain  God bless you for the smiles you putting on our faces after a very long time  #biggyshowdem #cameroon', 'count': 1, 'avg_polarity': 0.875, 'created_at': '2020-08-09 00:09:11'}]",2020-08-09
Canada,Politics,#Canada,0.2234493670886077,1897.759493670886,1354.873417721519,0.24050632911392406,"[('canada', 7), ('i’m', 6), ('new', 5), ('canadian', 4), ('2', 4), ('like', 4), ('still', 4), ('🇨🇦', 3), ('lost', 3), ('made', 3), ('love', 3), ('want', 3), ('enter', 3), ('year', 3), ('cases', 3), ('real', 3), ('week', 3), ('ottawa', 3), ('imagine', 3), ('owning', 3), ('give', 3), ('believe', 3), ('every', 3), ('best', 2), ('4', 2), ('always', 2), ('company', 2), ('please', 2), ('let’s', 2), ('products', 2)]",79,"[{'max_retweet_count': 5, 'text': 'AlpsLogic IT Solutions has experience &amp; expertise in a broad range of Microsoft technologies and languages 👍 #USA #Canada #hustle #business #entrepreneur #motivation #remote #nomad #angular #Azure #SharePoint #Dotnet #MVC #Microsoft #Technologies https://t.co/H2ZTFYmbzs', 'count': 1, 'avg_polarity': 0.178, 'created_at': '2020-08-09 00:15:22'}, {'max_retweet_count': 3, 'text': 'I love it here 😊 My country is so beautiful! #Canada https://t.co/ozMC7tZV7B', 'count': 1, 'avg_polarity': 0.888, 'created_at': '2020-08-09 00:33:00'}, {'max_retweet_count': 2, 'text': 'My 1st #bass of the season on opening day in June 🎣  #FishingForTheRestOfUs #FFTROU #fish #fishing #shorefishing #largemouth #largie #largemouthbass #bassfishing #bassopene #firstcatch #firstbass #ontario #canada #fishon #fishontario #ontariofishing #fishinglife #fishingfamily https://t.co/Wvecwy3FFp', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:40:30'}, {'max_retweet_count': 1, 'text': 'The inaugural launch of the #Canadian Federation For #Citizenship took place during Citizenship Week &amp; almost 2 weeks before the 2019 Federal #Election. The official program included the homegrown #leadership symposium and a reaffirmation ceremony. #Canada https://t.co/btxXPC84vU', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:06:15'}, {'max_retweet_count': 1, 'text': '#Canada Knowing what you now know about her, could or would you agree? https://t.co/wjxMJKPb7r', 'count': 1, 'avg_polarity': 0.361, 'created_at': '2020-08-09 00:01:35'}, {'max_retweet_count': 1, 'text': 'Further, in a world in social &amp; political chat, I believe #goldrush2020 will feature a massive domestic bias  Investors will, &amp; should concentrate on #US, #Canada &amp; #Mexico https://t.co/uLDv7khhzF', 'count': 1, 'avg_polarity': -0.103, 'created_at': '2020-08-09 00:27:28'}, {'max_retweet_count': 1, 'text': ""Even if you don't see this, or help.. I'll still always believe that this is the #Canada that Canada should be @BretHart . Thank you for helping forge my metal and set my course. You and your family @NatbyNature have made a big difference in my life.  Best wishes always. https://t.co/XKiYz49K8V"", 'count': 1, 'avg_polarity': 0.859, 'created_at': '2020-08-09 00:20:40'}, {'max_retweet_count': 1, 'text': 'Enter this #giveaway for a chance to #win a GPS Apple Watch and a 1 year supply of Waykana Energy Tea (a $750 value)!  End Date: 09/28/2020; Eligibility: WW  Enter Giveaway  #$150–$499Value #Canada #featured #International #UK #UnitedStates https://t.co/V8lC7PFjMN https://t.co/VVVAokyBTX', 'count': 1, 'avg_polarity': 0.525, 'created_at': '2020-08-09 00:45:26'}, {'max_retweet_count': 1, 'text': '#Legalize #marijuana recreationally nationwide. Import it from other states &amp; #Canada. Open up shops in most cities with delivery/no contact/app ordering. #Tax imports and sales. Use funds for #COVID relief or business #relief or 2 cover #unemployment/#EssentialWorkers benefits.', 'count': 1, 'avg_polarity': 0.691, 'created_at': '2020-08-09 00:23:57'}, {'max_retweet_count': 1, 'text': 'Part 3 of a sunset: quick shot before the sun went down. I love camping and want to stay all summer! #PineryProvincialPark #Pinery #beach #sunset #sky #clouds #sun #GrandBend #lake #LakeHuron #grasses #waves #Ontario #beautifulCanada #Canada https://t.co/tiGiY1URHM', 'count': 1, 'avg_polarity': 0.7, 'created_at': '2020-08-09 00:48:47'}, {'max_retweet_count': 1, 'text': 'This ⬇️  Daily Mass ✅  ➡️ Chesterton Academy of Ottawa  #BacktoSchool #ChestertonAcademyofOttawa #Ottawa #Canada  Students &amp; benefactors welcome  ➡️ Now accepting applications  https://t.co/EvALSFmX2X https://t.co/JN5STC9Cz5', 'count': 1, 'avg_polarity': 0.681, 'created_at': '2020-08-09 00:40:20'}, {'max_retweet_count': 1, 'text': ""This evening's #OttawaRiverSunset #Ottawa #Canada #GlorytoGod https://t.co/pNWjbd8gcW"", 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:29:26'}, {'max_retweet_count': 0, 'text': ""Ominous skies this Saturday evening in Clear Hills County. #CHCab in #Canada's #PeaceCountry https://t.co/kAsBGFs3kC"", 'count': 1, 'avg_polarity': 0.052, 'created_at': '2020-08-09 00:08:10'}, {'max_retweet_count': 0, 'text': 'No other way 👊🏼 . . . . . . . . . . . . #montreal #mtl #canada #quebec #toronto #mtlmoments #love #mtlblog #laval #photography #art #fashion #newyork #instagood #vancouver #montr #al #instagram #follow… https://t.co/o2cjHe5UgT', 'count': 1, 'avg_polarity': -0.296, 'created_at': '2020-08-09 00:05:05'}, {'max_retweet_count': 0, 'text': 'My latest video about the Great Fire (of 1870) that burned up much of the Ottawa valley, and the almost lost story of how Ottawa was saved.  https://t.co/nXiHCUJ1LC  #Ottawa #Ontario #Canada #OttMusic #Music #MusicLove #Musicians #otthistory #613history #MyOttawa #Ottcity', 'count': 1, 'avg_polarity': 0.541, 'created_at': '2020-08-09 00:36:33'}, {'max_retweet_count': 0, 'text': 'Make your own box at https://t.co/HmE6hffODj #screenshotsaturday #shop #BlackLivesMatter #blackowned #buyblack #Trending #canada #buyblackowned #box #share https://t.co/tO9I9vbw0b', 'count': 1, 'avg_polarity': 0.0, 'created_at': '2020-08-09 00:14:49'}, {'max_retweet_count': 0, 'text': '""In a test flight, the Gripen E jet was able to “jam” the German Typhoon fighter jets."" #canada #defense https://t.co/wZXZD9sLDs', 'count': 1, 'avg_polarity': 0.153, 'created_at': '2020-08-09 00:27:45'}, {'max_retweet_count': 0, 'text': 'Listen to the most recent episode of my podcast: Inside the PEDO minds of Ghislaine Maxwell &amp; Jeffrey Epstein. America’s dirty secrets.  https://t.co/i1tGvUbEvR #tokyo #hongkong #china #australia #sydney #perth #kent #auckland #az #secondcity #canada #usa #BoycottGoya #tiktok', 'count': 1, 'avg_polarity': -0.44, 'created_at': '2020-08-09 00:37:01'}, {'max_retweet_count': 0, 'text': 'Listen to the most recent episode of my podcast: Inside the PEDO minds of Ghislaine Maxwell &amp; Jeffrey Epstein. America’s dirty secrets.  https://t.co/i1tGvUbEvR #epstein #pedo #JefferyEpstein #pedophile #newmexico #arizona #covid19 #covid #canada #ireland #london #dublin', 'count': 1, 'avg_polarity': -0.44, 'created_at': '2020-08-09 00:42:00'}, {'max_retweet_count': 0, 'text': 'Imagine Owning This HP ProBook 6470b 14"" Business Laptop Intel i5 3320M 3.2GHz DDR3 HDD WiFi Win PC https://t.co/SaeZPCN9RY #apple #pc #Canada https://t.co/hyQSeqc8jh', 'count': 1, 'avg_polarity': 0.586, 'created_at': '2020-08-09 00:32:33'}]",2020-08-09
