partition_1,partition_0,search_query,avg_polarity,avg_followers,avg_friends,avg_retweet_count,word_freq,count,top_tweets,create_date
Kuwait,Politics,#Kuwait,-0.5423,53.0,83.0,1.0,"[('fuck', 1)]",1,"[{'max_retweet_count': 1, 'text': 'RT @fkeverycountry: Fuck #Kuwait.', 'count': 1, 'avg_polarity': -0.542}]",2020-08-08
Lebanon,Politics,#Lebanon,-0.04172362869198313,11471.118143459915,2018.15611814346,1137.704641350211,"[('explosion', 57), ('beirut', 54), ('people', 24), ('showing', 23), ('footage', 22), ('cctv', 20), ('shop', 20), ('impact', 20), ('help', 18), ('lebanese', 16), ('lebanon', 13), ('aid', 12), ('one', 11), ('video', 11), ('end', 11), ('tough', 11), ('get', 11), ('country', 11), ('day,', 10), ('choice:', 10), ('embrace', 10), ('structural', 10), ('reforms', 10), ('cash', 10), ('needs,', 10), ('—', 10), ('economic', 10), ('another', 9), ('donate', 8), ('contin…', 8)]",237,"[{'max_retweet_count': 58364, 'text': 'RT @FadyRoumieh: Explosion in #Beirut #Lebanon - view from Annahar building. Praying for everyone’s safety 🙏🏼😓 https://t.co/Zf6fXaahUq', 'count': 1, 'avg_polarity': 0.649}, {'max_retweet_count': 56174, 'text': 'RT @AbirGhattas: My brother sent me this, we live 10 KM away from the explosion site and the glass of our bldgs got shattered.  #Lebanon ht…', 'count': 1, 'avg_polarity': -0.477}, {'max_retweet_count': 29013, 'text': 'RT @hippieIovers: an informative thread on what’s happening in Lebanon #prayingforlebanon #Lebanon https://t.co/tdDsZpoPaH', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 8348, 'text': 'RT @ConflictsW: Before and after of the explosion site in Beirut  #Lebanon #Beirut  https://t.co/O19hHunYpl', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 5141, 'text': 'RT @RangeelaDesi: What kind of irresponsible people left 2,750 tons of ammonium nitrate left unsecured for 6 years in a warehouse? \U0001f92c\U0001f92f 50+ d…', 'count': 1, 'avg_polarity': -0.7}, {'max_retweet_count': 4297, 'text': 'RT @muftimenk: LEBANON EMERGENCY APPEAL  Abdullah Aid teams on the ground providing emergency relief in #Lebanon.   Heartbreaking and horri…', 'count': 1, 'avg_polarity': -0.703}, {'max_retweet_count': 3753, 'text': 'RT @ConflictsW: CCTV footage from a shop in Beirut showing the impact of the explosion in Beirut  #Lebanon #Beirut https://t.co/650AUKaCX3', 'count': 20, 'avg_polarity': 0.0}, {'max_retweet_count': 3336, 'text': 'RT @nadimserhal: Sad day for Beirut &amp; Lebanon with the big explosion at Beirut Port. All thoughts are with the lost and loved ones. Hope ne…', 'count': 1, 'avg_polarity': 0.34}, {'max_retweet_count': 2985, 'text': 'RT @btsworldwider: 8,000 clicks = 8,000 Pounds = $1 Every click matters please help!🙏  #Lebanon #Beirut  https://t.co/oLwKwQf8IU', 'count': 1, 'avg_polarity': 0.4}, {'max_retweet_count': 1216, 'text': 'RT @SharkNewsWires: Update : Multiple injuries reported after the huge explosion in #Beruit ,#Lebanon .  https://t.co/qW8QU2TGUT', 'count': 1, 'avg_polarity': 0.318}, {'max_retweet_count': 903, 'text': 'RT @ChristianeWaked: Trapped for three days under the collapsed building, Joe Akiki was praying the whole time holding the cross in his han…', 'count': 3, 'avg_polarity': -0.459}, {'max_retweet_count': 886, 'text': 'RT @EinsteinsMagic: 😱The moment the bomb goes off in #Lebanon captured from a Wedding video!😳 https://t.co/p1466uYBSS', 'count': 1, 'avg_polarity': 0.648}, {'max_retweet_count': 810, 'text': 'RT @AuroraIntel: @planetlabs Manually generated overlay gif of before and after imagery of #Beirut Port, #Lebanon https://t.co/218cUCobAn', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 789, 'text': 'RT @BanTheBBC: Looks like it might be a fireworks explosion #Beruit #Lebanon https://t.co/AwZVpL96nu', 'count': 1, 'avg_polarity': 0.361}, {'max_retweet_count': 769, 'text': ""RT @BasedPoland: This is the craaziest video from the #BeirutExplosion I've seen yet.  HD camera on tripod very close to the explosion.  Th…"", 'count': 4, 'avg_polarity': 0.0}, {'max_retweet_count': 604, 'text': 'RT @freezerohedge: What fell from the sky? #Lebanon  https://t.co/XtdpTZ3kqW', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 584, 'text': 'RT @AlexandreKrausz: One of the most impressive real videos you will watch. The dimension of today’s explosion in #Beirut is catastrophic.…', 'count': 1, 'avg_polarity': 0.556}, {'max_retweet_count': 573, 'text': 'RT @SMQureshiPTI: Spoke with FM Charbel Wehbe &amp; conveyed Pakistan’s deep sorrow over the loss of lives, injuries &amp;extensive damage caused b…', 'count': 3, 'avg_polarity': -0.836}, {'max_retweet_count': 565, 'text': 'RT @ThomasVLinge: #Lebanon: another bridal video that captured the moment of the #BeirutExplosion has emerged. #Beirut https://t.co/7uAnHpR…', 'count': 2, 'avg_polarity': 0.0}, {'max_retweet_count': 538, 'text': 'RT @AuroraIntel: Another video circulating claiming to be “Infra Red” showing a “missile” hitting #Beirut Port, #Lebanon, again, it’s fake.…', 'count': 1, 'avg_polarity': 0.0}]",2020-08-08
Lesotho,Politics,#Lesotho,0.0,21383.0,484.0,0.0,"[('day', 2), ('women’s', 2), ('new', 1), ('first', 1), ('lady', 1), ('making', 1), ('speech', 1), ('marked', 1), ('another', 1), ('country?...', 1), ('(31', 1), ('july', 1), ('pan', 1), ('african', 1), ('day,', 1), ('9', 1), ('august', 1), ('south', 1), ('africa)', 1), ('“selects/directs”', 1), ('time', 1), ('country’s', 1), ('national', 1), ('tv', 1), ('station', 1), ('air', 1), ('speech?', 1), ('🤔', 1)]",1,"[{'max_retweet_count': 0, 'text': '#Lesotho’s new First Lady is making a speech on a day marked by another country?...  (31 July is Pan African Women’s Day, but 9 August is Women’s Day in South Africa)  and “selects/directs” the time that the country’s national TV station should air that speech? 🤔 https://t.co/n4XQqXV9VF', 'count': 1, 'avg_polarity': 0.0}]",2020-08-08
Libya,Politics,#Libya,-0.0625,480.15384615384613,1185.6153846153845,58.84615384615385,"[('🇹🇷🇬🇷me', 3), ('decided', 3), ('make', 3), ('goodwill', 3), ('gesture', 3), ('responded', 3), ('escalat…', 3), ('picture', 3), ('international', 2), ('human', 2), ('mediation,', 1), ('plans', 1), ('steal', 1), ('continental', 1), ('shelf', 1), ('despite', 1), ('res', 1), ('judicata', 1), ('o…', 1), ('transfer', 1), ('5000', 1), ('somalis', 1), ('front', 1), ('lines', 1), ('war', 1), ('understand', 1), ('turkish', 1), ('bases', 1), ('preparing', 1), ('urgent', 1)]",13,"[{'max_retweet_count': 484, 'text': 'RT @NicAthens: #Turkey will transfer 5000 Somalis in front lines of war in #Libya.  You understand what the Turkish bases in #Qatar &amp; #Soma…', 'count': 1, 'avg_polarity': -0.599}, {'max_retweet_count': 175, 'text': 'RT @MSF_Sea: #MSF is preparing for an urgent return to sea.  This time, onboard #SeaWatch4   Why?  🔴Because no human being should be left t…', 'count': 1, 'avg_polarity': -0.103}, {'max_retweet_count': 18, 'text': 'RT @AliBakeer: 🇹🇷🇬🇷Me on @AJArabic /@AJA_scenarios  ☑️#Turkey decided to make a goodwill gesture ☑️#Greece &amp; #Egypt responded by an escalat…', 'count': 3, 'avg_polarity': 0.0}, {'max_retweet_count': 13, 'text': 'RT @USAEmbassyLibya: 2/2 The U.S. will continue to actively engage a range of Libyan leaders who are ready to reject harmful foreign interf…', 'count': 1, 'avg_polarity': 0.542}, {'max_retweet_count': 12, 'text': 'RT @Gerjon_: A great find by @FireFlying11 - he found the 03 Aug 2020 🇷🇺Russian Air Force An-124 flight, which reportedly flew to 🇱🇾#Libya,…', 'count': 1, 'avg_polarity': 0.625}, {'max_retweet_count': 11, 'text': 'RT @BHL: Disavowed by the #wsj ? Here is my reportage in #Libya. https://t.co/rdIvXRhkMn', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 7, 'text': 'RT @emad_badi: ""@StateDept remains concerned by reports of human rights abuses committed by Turkish-backed fighters in parts of northeast #…', 'count': 1, 'avg_polarity': -0.402}, {'max_retweet_count': 4, 'text': ""RT @ObservatoryLY: Through #Turkey's mediation, #Malta plans to steal #Libya’s continental shelf despite Res Judicata International Court o…"", 'count': 1, 'avg_polarity': -0.494}, {'max_retweet_count': 3, 'text': ""RT @AhmedRedacted: Here is 'my' picture of a country I've never been to.  Even though the picture was originally taken by, and is the intel…"", 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 2, 'text': 'RT @AlMaidan5: Iraqi Shia militias are now in #Azerbaijan to fight against #Armenia.   #Iraq #Turkey #Greece #Libya #Iran', 'count': 1, 'avg_polarity': -0.382}, {'max_retweet_count': 0, 'text': '@AhmedRedacted @snakhooda heres my picture 😂 #Libya (CC BY-NC-ND 4.0) Attribution-nonCommercial-NoDerivatives 4.0 international https://t.co/y2ukpjGMEP', 'count': 1, 'avg_polarity': 0.0}]",2020-08-08
Lithuania,Politics,#Lithuania,0.41650000000000004,104.33333333333333,56.666666666666664,0.0,"[('cases', 3), ('new', 2), ('confirmed', 2), ('recovered', 2), ('update', 1), ('23,', 1), ('2.', 1), ('total', 1), ('lithuania', 1), ('2194,', 1), ('1658,', 1), ('deaths', 1), ('81.', 1), ('+1.06%', 1), ('daily', 1), ('increase,', 1), ('23', 1), ('today', 1), ('utc', 1), ('time.', 1), ('ch.', 1), ('gounod', 1), ('“faust”.', 1), ('it’s', 1), ('journey.', 1), ('first', 1), ('opera.', 1), ('i’m', 1), ('happy', 1), ('proud', 1)]",3,"[{'max_retweet_count': 0, 'text': '#coronavirus update in #Lithuania. New cases confirmed 23, new recovered 2. Total cases in Lithuania confirmed 2194, recovered 1658, deaths 81. +1.06% daily cases increase, 23 reported today UTC time.', 'count': 1, 'avg_polarity': 0.318}, {'max_retweet_count': 0, 'text': 'Ch. Gounod “Faust”. It’s been a journey. My first opera. I’m so happy and proud of my colleagues who are now my friends. It will always take a special place in my heart. 💕 Directed by Dalia Ibelhauptaitė #happy #music #opera #friends #VCO #Lithuania https://t.co/0n96RZEzfy', 'count': 1, 'avg_polarity': 0.931}, {'max_retweet_count': 0, 'text': 'Golf Charlie reports: Latest 6 hour average background radiation is 0.12 μSv/h #radioactivity #radiation #vilnius #lithuania #geiger Website: https://t.co/7zm7OkjxZP', 'count': 1, 'avg_polarity': 0.0}]",2020-08-08
Luxembourg,Politics,#Luxembourg,0.3182,268.0,2.0,0.0,"[('cases', 3), ('new', 2), ('confirmed', 2), ('recovered', 2), ('update', 1), ('40,', 1), ('98.', 1), ('total', 1), ('luxembourg', 1), ('7113,', 1), ('5848,', 1), ('deaths', 1), ('119.', 1), ('+0.57%', 1), ('daily', 1), ('increase,', 1), ('40', 1), ('today', 1), ('utc', 1), ('time.', 1)]",1,"[{'max_retweet_count': 0, 'text': '#coronavirus update in #Luxembourg. New cases confirmed 40, new recovered 98. Total cases in Luxembourg confirmed 7113, recovered 5848, deaths 119. +0.57% daily cases increase, 40 reported today UTC time.', 'count': 1, 'avg_polarity': 0.318}]",2020-08-08
Malawi,Politics,#Malawi,0.05387499999999999,2270.0,3069.0,0.75,"[('cases', 3), ('new', 2), ('confirmed', 2), ('recovered', 2), ('malawi', 2), ('deaths', 2), ('update', 1), ('84,', 1), ('47.', 1), ('total', 1), ('4575,', 1), ('2184,', 1), ('137.', 1), ('+1.87%', 1), ('daily', 1), ('increase,', 1), ('84', 1), ('today', 1), ('utc', 1), ('time.', 1), ('closing', 1), ('re-sharing', 1), ('scale-up', 1), ('hospital', 1), ('initiative', 1), ('human', 1), ('rights', 1), ('groups', 1), ('warn', 1), ('packed', 1)]",4,"[{'max_retweet_count': 2, 'text': 'RT @AfricaNowOnline: #Malawi human rights groups warn of #COVID deaths in packed #prisons https://t.co/S10I1dhh4V #COVID19', 'count': 1, 'avg_polarity': -0.103}, {'max_retweet_count': 1, 'text': 'RT @JKavle: With closing #WorldBreastfeedingWeek, re-sharing @USAIDGH  @MCSPglobal scale-up of #babyfriendly hospital initiative in #Malawi…', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 0, 'text': '#coronavirus update in #Malawi. New cases confirmed 84, new recovered 47. Total cases in Malawi confirmed 4575, recovered 2184, deaths 137. +1.87% daily cases increase, 84 reported today UTC time.', 'count': 1, 'avg_polarity': 0.318}, {'max_retweet_count': 0, 'text': ""How #lifestyle in Malawi affects #time. https://t.co/rv3R4slakE Don't always rush in #Malawi! https://t.co/lWilD9WZC5"", 'count': 1, 'avg_polarity': 0.0}]",2020-08-08
Malaysia,Politics,#Malaysia,0.0897,2222.470588235294,1751.9411764705883,89.0,"[('•', 12), ('*', 10), ('dm', 4), ('malaysia', 4), ('[malaysia', 4), ('go]', 4), ('price:', 4), ('incl.', 4), ('postage', 4), ('release', 3), ('date:', 3), ('cases', 3), ('available', 2), ('kuala', 2), ('lumpur,', 2), ('train', 2), ('city', 2), ('always', 2), ('connected', 2), ('together....', 2), ('ost', 2), ('album', 2), ('using', 2), ('blog', 2), ('link:', 2), ('took', 2), ('one', 2), ('go', 2), ('popular', 2), ('new', 2)]",17,"[{'max_retweet_count': 1458, 'text': 'RT @TimGurung: The #Gurkha #story is not only about #bravery but also a story of #loss, #sacrifice, and #tragedy!  Available at #bookstores…', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 19, 'text': 'RT @urjoblessfan: [Malaysia GO] ONEUS - LIVED Release date: 20.8.2020 Price: RM100 incl. Postage Poster: folded poster (depend on the stock…', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 8, 'text': 'RT @mclelun: burger ayam double special cheese #pixelart #malaysia https://t.co/iN0RHpsijY', 'count': 1, 'avg_polarity': 0.402}, {'max_retweet_count': 7, 'text': 'RT @urjoblessfan: [Malaysia GO] INTO THE RING OST ALBUM Release date: 25.8.2020 Price: RM85 incl. Postage DM me #INTOTHERING #MEMORIAL #THE…', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 7, 'text': 'RT @urjoblessfan: [Malaysia GO] BACKSTREET ROOKIE OST ALBUM Release date: 11.8.2020 Price: RM120 incl. Postage DM me #BACKSTREETROOKIE #JIC…', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 4, 'text': 'RT @YBeeee: You know that Guan Eng #SolidarityWithLGE hashtag? I absolutely refuse to use it. I’m not in #SolidarityWithLGE so why should I…', 'count': 1, 'avg_polarity': -0.36}, {'max_retweet_count': 4, 'text': 'RT @urjoblessfan: [Malaysia GO] NCT127 - BEYOND LIVE BROCHURE (BEYOND THE ORIGIN) Price: RM140 incl. Postage DM me #NCT127 #NCTZEN #NCT #TA…', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 2, 'text': 'RT @BIPAMbkk: Fasyali Fadzly is a director, playwright, researcher, and educator. Using the technique called ‘ipuppad’ (iPad + Puppet) to r…', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 1, 'text': 'RT @cliff_89: BLOG LINK: https://t.co/wsJz8vC8xH  Took the one and only #funicular in #Malaysia to go up to #PenangHill, a popular #resort…', 'count': 1, 'avg_polarity': 0.421}, {'max_retweet_count': 1, 'text': '#Repost @ngminglee • • • • • • Kuala Lumpur, Malaysia  Train and the city always be connected together....  * * * * * Shot using Canon EOS 3000D  #malaysiatrulyasia #cuticutimalaysia #visitmalaysia #malaysia… https://t.co/epaOEKB0js', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 1, 'text': 'RT @Salak_Selatan: #Repost @ngminglee • • • • • • Kuala Lumpur, Malaysia  Train and the city always be connected together....  * * * * * Sh…', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 1, 'text': 'BLOG LINK: https://t.co/wsJz8vC8xH  Took the one and only #funicular in #Malaysia to go up to #PenangHill, a popular #resort area!  #PulauPinang #Penang #attraction #dining #stroll #fun #leisure #adventure #journey #holiday #vacation #trip #travel #blog #travelblog #travelblogger https://t.co/C89BhZlIGl', 'count': 1, 'avg_polarity': 0.475}, {'max_retweet_count': 0, 'text': '#coronavirus update in #Malaysia. New cases confirmed 25, new recovered 15. Total cases in Malaysia confirmed 9063, recovered 8728, deaths 125. +0.28% daily cases increase, 25 reported today UTC time.', 'count': 1, 'avg_polarity': 0.318}, {'max_retweet_count': 0, 'text': 'Human rights in #Malaysia: https://t.co/iIXCq4lVfP', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 0, 'text': 'AHHHH UAHEUEBUWWVUWEVUWE my country, Malaysia its here!!! 10th september!!!!!🤧💜 #BREAKTHESILENCE_THEMOVIE #ARMY #ExaARMY #Malaysia https://t.co/NNVZ9vuIj0', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 0, 'text': 'We have 73 jobs open today in #Malaysia. Check them out via the link in our bio.', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 0, 'text': 'lovelies💋 8.8 promo \U0001f975 colour available : purple, white, blue &amp; grey design : daisy scrunchie price : rm2.50 (exc postage) buy 3 = rm7 only !! 😍😍 hit my dm button! ❤️ #readystock #scrunchie #Malaysia #augustpromo https://t.co/at2o4te5wa', 'count': 1, 'avg_polarity': 0.268}]",2020-08-08
Maldives,Politics,#Maldives,0.11947894736842102,4333.368421052632,2165.7894736842104,40.78947368421053,"[('total', 7), ('6', 5), ('years', 5), ('still', 5), ('ask', 5), ('question', 5), ('😞', 5), ('😭😢', 5), ('🎈🎈🎈????', 5), ('(🔺', 4), ('explosion', 3), ('happened', 3), ('capital', 3), ('malé:', 3), ('zones', 3), ('one', 3), ('two', 3), ('encompassing', 3), ('2.5', 3), ('km', 3), ('area', 3), ('(malé)', 3), ('would', 3), ('com…', 3), ('new', 3), ('cases', 3), ('waters', 2), ('confirmed', 2), ('recovered', 2), ('daily', 2)]",19,"[{'max_retweet_count': 309, 'text': 'RT @Charmmeofficial: Be water my friend, be water 💦  . . #throwback #maldives ❣️ https://t.co/P1qqnlCNfF', 'count': 1, 'avg_polarity': 0.494}, {'max_retweet_count': 113, 'text': 'RT @mjunayd: If the #Beirut explosion happened in #Maldives capital Malé:  Zones one and two encompassing a 2.5 km area (Malé) would be com…', 'count': 3, 'avg_polarity': 0.0}, {'max_retweet_count': 72, 'text': 'RT @IATA: Known for its clear blue skies and sea, the #Maldives is ready to receive travelers in need of a relaxing getaway 🏖️🍹🌬️  Check yo…', 'count': 1, 'avg_polarity': 0.807}, {'max_retweet_count': 26, 'text': 'RT @HassanLatheef: Copy of the #Constitution sent to President for ratification.  #07Aug2008.  #Republic of #Maldives https://t.co/TOOoMbE6…', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 23, 'text': ""RT @qatarairways: Travel to paradise this summer with our daily flight to the #Maldives, which is now open to visitors. It's the perfect de…"", 'count': 1, 'avg_polarity': 0.836}, {'max_retweet_count': 4, 'text': 'RT @traveltrademv: Take steps into the inviting waters of a new adventure ahead. ✨   #COMOMaalifushi #COMOHotels #Maldives #VisitMaldives #…', 'count': 1, 'avg_polarity': 0.557}, {'max_retweet_count': 1, 'text': 'Total Cases:  4,769 (🔺 89) 🤢 Total Recovered:  2,754 (🔺 29) 😷 Total Deaths:  19 ☠️ Case Fatality Rate: 0.398% ⚰️ #COVID19Maldives #Maldives #Covid19 #StayHome https://t.co/KLPmG8qAIo', 'count': 1, 'avg_polarity': -0.67}, {'max_retweet_count': 1, 'text': 'RT @Covid19_mv: Total Cases:  4,769 (🔺 89) 🤢 Total Recovered:  2,754 (🔺 29) 😷 Total Deaths:  19 ☠️ Case Fatality Rate: 0.398% ⚰️ #COVID19Ma…', 'count': 1, 'avg_polarity': -0.67}, {'max_retweet_count': 0, 'text': '""[M]arine scientists..have added another, predictable statistic to the #Maldives’ trash horror story: The island chain, renowned for its rich marine biodiversity, is also home to the world’s highest levels of microplastics on its beaches and in the waters near shore."" 1/5 https://t.co/yT54mVODsH', 'count': 1, 'avg_polarity': -0.026}, {'max_retweet_count': 0, 'text': '#coronavirus update in #Maldives. New cases confirmed 89, new recovered 29. Total cases in Maldives confirmed 4769, recovered 2754, deaths 19. +1.90% daily cases increase, 89 reported today UTC time.', 'count': 1, 'avg_polarity': 0.318}, {'max_retweet_count': 0, 'text': 'Here’s a song for you… So Amazing - Intimate Mix by Luther Vandross https://t.co/jCNB6gMVJn #maldives', 'count': 1, 'avg_polarity': 0.624}, {'max_retweet_count': 0, 'text': '@Raajje_tvPR @FashaaIru @Raajje_tv 6 years and we still ask the same question #FindMoyameehaa 😞 😭😢 #FindMoyameehaa 🎈🎈🎈???? #Maldives https://t.co/eO5bzvvqZF', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 0, 'text': '@Raajje_tvPR @FashaaIru @Raajje_tv 6 years and we still ask the same question #FindMoyameehaa 😞 😭😢 #FindMoyameehaa 🎈🎈🎈???? #Maldives @Imthiyazfahmy @Roxeyna https://t.co/rdpblPox8L', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 0, 'text': '6 years and we still ask the same question #FindMoyameehaa 😞 😭😢 #FindMoyameehaa 🎈🎈🎈???? #Maldives https://t.co/3cNfXn0aRl', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 0, 'text': '6 years and we still ask the same question #FindMoyameehaa 😞 😭😢 #FindMoyameehaa 🎈🎈🎈???? #Maldives @Imthiyazfahmy @Roxeyna @anuahsa https://t.co/8bkKogyKtT', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 0, 'text': '6 years and we still ask the same question #FindMoyameehaa 😞 😭😢 #FindMoyameehaa 🎈🎈🎈???? #Maldives  @Roxeyna https://t.co/iC8H99Icxo', 'count': 1, 'avg_polarity': 0.0}, {'max_retweet_count': 0, 'text': ""Most of the #microplastics in the #maldives are less than 0.4mm in width, which is small enough for both people and #marine life to ingest. Here's more from @Flinders scientists and @ST_Sustainable:  https://t.co/lzskAqdWKH"", 'count': 1, 'avg_polarity': 0.0}]",2020-08-08
Mali,Politics,#Mali,0.31245,1774.5,1673.0,0.5,"[('daily', 1), ('press', 1), ('briefing', 1), ('office', 1), ('spokesperson', 1), ('secretary-general,', 1), ('7', 1), ('august', 1), ('2020', 1), ('mali', 1), ('great', 1), ('born', 1), ('via', 1)]",2,"[{'max_retweet_count': 1, 'text': 'RT @DannyWijnhoud: Great #music from #Mali   Born in #polygamy  #HabibKoité - #SinamaDenw  https://t.co/8tMPlzjqzG via  @YouTube #NowPlayin…', 'count': 1, 'avg_polarity': 0.625}, {'max_retweet_count': 0, 'text': '#Mali Daily Press Briefing by the Office of the Spokesperson for the Secretary-General, 7 August 2020 - Mali #Reliefweb https://t.co/0ZFPKwbv5F', 'count': 1, 'avg_polarity': 0.0}]",2020-08-08
