,partition_1,partition_0,avg_polarity,avg_followers,avg_friends,avg_retweet_count,word_freq,count,create_date
10,Angola,Politics,0.007235102040816308,8382.15918367347,1720.0938775510206,5.063265306122449,"[('next', 85), ('--', 65), ('likely', 60), ('raise', 60), ('production', 60), ('month', 60), ('following', 60), ('record', 60), ('cuts', 60), ('since', 60), ('april.', 60), ('members', 60), ('includi…', 55), ('african', 55), ('latest', 40), ('oil-for-infrastructure', 35), ('diamond', 30), ('dos', 30), ('santos', 30), ('oil', 30), ('deal', 30), ('years', 29), ('fraudulent', 29), ('money', 29), ('h…', 25), ('unita', 25), ('cafunfu', 25), ('water', 25), ('time', 25), ('week...a', 25)]",490,2020-07-15
11,Anguilla,Politics,0.1354952380952381,763.9047619047618,537.2857142857143,11.095238095238097,"[('european', 8), ('eel', 8), ('still', 8), ('critically', 8), ('endangered.', 8), ('red', 8), ('list', 8), ('status', 8), ('remains', 8), ('unchanged', 8), ('previous', 8), ('iucn', 8), ('assessment', 8), ('a…', 8), ('farewell', 8), ('overseas', 8), ('territory', 8), ('🇦🇮', 8), ('good', 3), ('shep', 2), ('top', 2), ('king', 2), ('""follow', 1), ('dreams', 1), ('time.""', 1), ('murray', 1), ('quoting', 1), ('since', 1), ('co-founded', 1), ('time', 1)]",21,2020-07-15
12,Apple,Technology,0.08231089605734758,4651.140501792114,1400.614336917563,250.62150537634412,"[('music', 172), ('twitter', 157), ('views', 143), ('hacked', 132), ('video', 118), ('apple', 115), ('|', 115), ('new', 94), ('[info]', 86), ('2', 83), ('latest', 81), ('accounts', 80), ('official', 79), ('10,000,000', 77), ('tax', 77), ('scam', 71), ('gfriend', 68), ('live', 64), ('account', 64), ('comparison', 61), ('comeback!', 61), ('february', 60), ('crossroads', 60), ('da…', 60), ('make', 59), ('like', 58), ('got', 57), ('bitcoin', 57), ('years', 53), ('irish', 53)]",1395,2020-07-15
13,Argentina,Politics,0.12762649967040254,44371.56822676335,1514.6400791034937,15.928806855636125,"[('woman', 126), ('101-year-old', 124), ('beats', 124), ('international', 96), ('happy', 95), ('get', 84), ('argentina', 82), ('live', 81), ('career', 81), ('winner', 78), ('el', 78), ('matador.', 78), ('43', 78), ('caps', 78), ('go', 74), ('years', 71), ('⚽️', 69), ('covid-19', 67), ('investment', 66), ('july', 66), ('talk', 66), ('8th', 63), ('🇦🇷', 61), ('new', 61), ('usa', 60), ('parque', 60), ('central,', 60), ('""sounds', 60), ('legit:', 60), ('trust', 60)]",1517,2020-07-15
14,Arsenal,EPL,0.1476897142857142,19231.042142857143,1990.0492857142856,173.6342857142857,"[('arsenal', 543), ('don’t', 184), ('liverpool', 161), ('league', 142), ('still', 129), ('mikel', 127), ('come', 116), ('champions', 104), ('club', 100), ('time', 96), ('🔴', 94), ('invest', 92), ('players', 87), ('maitland-niles', 86), ('game', 85), ('‘ok,', 83), ('financial', 83), ('“if', 74), ('team', 74), ('real', 73), ('top', 71), ('say,', 66), ('abili…', 66), ('would', 66), ('take', 66), ('get', 64), ('vs', 61), ('i’m', 61), ('make', 58), ('monreal', 55)]",1400,2020-07-15
15,Atheist,Religion,0.21255490956072234,5759.170542635659,4262.663436692506,5.792635658914728,"[('u', 388), ('cult.', 364), ('novel', 360), ('favor', 277), ('follow', 254), ('would', 240), ('u.', 238), ('love', 168), ('via', 155), ('thx4', 153), ('gave', 153), ('u2return', 153), ('tweet', 149), ('1', 148), ('/r/atheism', 143), ('tweets.', 136), ('2', 132), ('me,', 130), ('may', 128), ('followed', 124), ('hope', 124), ('return', 124), ('back.', 124), ('pm/tweet', 124), ('stuff', 124), ('consider', 118), ('god', 117), ('follow-back.', 116), ('retweeting', 114), ('pinned', 113)]",1548,2020-07-15
16,AtlantaHawks,NBA,0.0,2293.625,536.25,1.5,"[('check', 42), ('2019-20', 42), ('panini', 42), ('prizm', 42), (""de'andre"", 42), ('hunter', 42), ('atlanta', 42), ('hawks', 42), ('rc', 42), ('base', 42), ('via', 42), ('john', 14), ('collins', 14), ('around', 14), ('atl', 14), ('friday!!', 14)]",56,2020-07-15
17,Australia,Politics,0.1955712023038169,3427.0741540676745,2096.4290856731463,268.39956803455726,"[('join', 340), ('must', 298), ('states', 297), ('united', 294), ('ending', 294), ('extraditions', 294), ('u.s.', 294), ('international', 106), ('flights', 102), ('new', 89), ('million', 80), ('says', 72), ('free', 60), ('world', 55), ('ceo', 51), ('since', 51), ('march', 50), ('⚠️wow.', 49), ('pulls', 49), ('website', 49), ('2021.', 49), ('to/fr…', 49), ('?', 41), ('locked', 41), ('going', 40), ('trade', 40), ('australia', 39), ('5+', 39), ('estimated', 39), ('1+', 39)]",1389,2020-07-15
18,Belize,Politics,0.15980454545454542,4592.575757575758,1671.969696969697,15.969696969696967,"[('today', 16), ('july', 15), ('15,', 15), ('commemorate', 14), ('25', 14), ('yrs.', 14), ('establishment', 14), ('diplomatic', 14), ('relations.', 14), ('1995,', 14), ('cou…', 13), ('belize', 11), ('good', 7), ('continue', 7), ('low', 6), ('16', 6), ('active', 6), ('cases,', 6), ('imperative', 6), ('exercise', 6), ('prevention', 6), ('measures', 6), ('require', 6), ('countries', 5), ('coll…', 5), ('morning', 5), ('field', 4), ('travel', 4), ('visited', 4), ('filmaker,', 4)]",66,2020-07-15
19,Benin,Politics,0.2220734513274336,3955.858407079646,780.3097345132742,10.619469026548671,"[('serving', 20), ('humanity', 20), ('integral', 20), ('ahmadiyya', 20), ('jamaat', 20), ('continues', 20), ('project', 20), ('relief,', 20), ('tim…', 19), ('deputy', 11), ('minister', 11), ('multi-international', 11), ('affairs', 11), ('abdulrahman', 11), ('al-rasi', 11), ('received', 11), ('ambassador', 11), ('kingdom,', 11), ('fadlou', 11), ('mou…', 10), ('benin', 7), ('link', 6), ('stream', 6), ('👇', 6), ('us', 5), ('people', 5), ('time', 5), ('read', 5), ('root', 5), ('munch!', 5)]",113,2020-07-15
20,Berkeley,Universities,0.1803182047402921,6321.564800806858,1457.8935955622794,12.563792233988904,"[('city', 1318), ('berkeley', 791), ('council', 750), ('police', 703), ('traffic', 639), ('workers', 554), ('unarmed', 540), ('reforms,', 537), ('stops.', 536), ('approves', 522), ('including', 522), ('replacing', 522), ('officers', 522), ('berkeley…', 507), ('meeting', 185), ('call', 161), ('🗣️tonight', 131), ('6:', 131), ('urge', 131), ('councilmembers', 131), ('vote', 131), ('yes', 131), ('cm', 131), (""davila's"", 131), ('propos…', 131), ('everyone', 130), ('proud', 115), ('stop', 109), ('berkeley?', 92), ('california', 90)]",1983,2020-07-15
21,BillGates,RichList,0.21411148293963167,4290.877296587926,4053.1961942257212,216.00853018372703,"[('i’ve', 505), ('calling', 504), ('make', 499), ('exactly', 497), ('viral!', 496), ('best', 496), ('thing', 496), ('heard', 496), ('day!!!', 496), ('😂😂😂', 496), ('is!', 496), ('plan', 143), ('cover', 141), ('implant', 141), ('trackable', 141), ('microchips.', 141), ('“globalists""', 141), ('bill', 134), ('gates', 123), ('read', 99), ('more:', 88), ('twitter', 64), ('vaccine', 63), ('never', 57), ('think', 52), ('world', 50), ('full', 48), ('retweet|', 45), ('effect', 45), ('""what', 45)]",1524,2020-07-15
22,BostonCeltics,NBA,0.6652019999999997,416.99,1576.695,7.08,"[('one', 118), ('kind', 118), ('2019-20', 118), ('black', 118), ('“career', 118), ('best', 118), ('41', 118), ('pt…', 118), ('celtics', 68), ('boston', 38), ('kemba', 28), ('walker', 28), ('play', 28), ('head', 24), ('coach', 24), ('brad', 24), ('stevens', 24), ('king', 16), ('highlights.', 16), ('get', 16), ('man', 16), ('paid.', 16), ('news:', 14), (""'every"", 14), (""indication'"", 14), ('injury:', 14), ('expecting', 14), ('healthy', 14), ('able', 14), ('season', 14)]",200,2020-07-15
23,Brazil,Politics,0.2051982032565972,7864.294778214486,2218.3430656934306,77.48568220101066,"[('brazil', 225), ('trees', 217), ('good', 212), ('world', 189), ('like', 174), ('large', 168), ('agricultural', 166), ('looks', 165), ('powerhouse', 164), ('fed', 164), ('future', 164), ('sec…', 163), ('rio', 130), ('de', 127), ('great', 126), ('help', 123), ('please', 122), ('|', 115), ('plant', 114), ('stay', 114), ('beautiful', 113), ('hello', 112), ('friends', 112), ('janeiro!', 112), ('fly', 112), ('city', 112), ('country.', 112), ('safe', 112), ('ta…', 111), (""we're"", 110)]",1781,2020-07-15
24,Brisbane,Australia,0.1862733031674207,12203.764705882351,7615.185520361991,0.9592760180995475,"[('radar', 25), ('(mt', 24), ('stapylton)', 24), ('256', 24), ('km.', 24), ('current', 24), ('aedt', 24), ('utc)', 24), ('brisbane', 19), ('new', 15), ('|', 15), ('hot', 14), ('sauce', 14), ('see', 12), ('pm', 12), ('get', 9), ('right', 8), ('great', 8), ('qld', 8), ('open', 8), ('first', 8), ('final', 8), ('us', 8), ('visit', 8), ('cleaning', 8), ('house', 8), ('day', 7), ('looking', 7), ('747', 6), ('amazing', 6)]",221,2020-07-15
25,BrooklynNets,NBA,0.16739585253456235,5632.299539170506,2261.8156682027648,1.456221198156682,"[('nets', 60), ('like', 50), ('dear', 48), ('let’s', 48), ('keep', 48), ('beasley', 48), ('next', 48), ('season', 48), ('could', 48), ('really', 48), ('use', 48), ('shooting', 48), ('bench', 48), ('plz', 48), ('thank', 45), ('roster', 42), ('would', 36), ('see', 36), ('gregg', 36), ('popovich', 36), ('coach', 36), ('kyrie', 36), ('irving?', 36), ('y…', 31), ('brooklyn', 28), ('new', 28), ('people', 28), ('dying', 28), ('worried', 28), ('players', 28)]",217,2020-07-15
26,BubbleTea,FastFood,0.2871552772808593,1167.3935599284434,857.6958855098391,1.5724508050089443,"[('tea', 121), ('bubble', 117), ('boba', 106), ('milk', 74), ('new', 70), ('try', 60), ('i’m', 50), ('make', 46), ('never', 45), ('drink', 43), ('us', 42), ('nom', 42), ('hope', 41), ('one', 39), ('taro', 36), ('coming', 36), ('soon!', 36), ('really', 36), ('excited', 36), ('share', 36), ('all!', 36), ('boba,', 32), ('back', 30), ('get', 29), ('need', 29), ('let', 29), ('time', 28), ('!', 28), ('iced', 28), ('let’s', 28)]",559,2020-07-15
27,Buddhism,Religion,0.08505883777239688,2919.017917675545,1642.9869249394674,336.234382566586,"[('buddha', 1027), ('5', 978), ('tomorrow', 977), ('receive', 974), ('retweet', 973), ('books', 377), ('books,', 189), ('schools', 187), ('removing', 187), ('“illegal”', 187), ('ensure', 187), ('total', 187), ('leadership', 187), ('education,”', 187), ('incl.', 187), ('comic', 187), ('us', 86), ('buddhist', 70), ('become', 54), ('life', 53), ('spiritual', 52), ('awareness', 51), ('live', 48), ('―', 41), ('one', 41), ('h.h.', 39), ('let', 38), ('among', 36), ('like', 34), ('planet', 33)]",2065,2020-07-15
28,Burnley,EPL,0.09137455292411782,5909.4325761237305,1479.8586273562107,16.436201063315607,"[('live', 876), ('see', 866), ('mike', 863), ('var', 850), ('dean', 837), ('referee', 823), ('town', 817), ('hall', 817), ('gary', 804), ('powndland', 804), ('😡⚽️😡⚽️😡', 804), ('🦊🦊🦊🦊🦊🦊🦊🦊🦊🦊', 804), ('👇🏻', 804), ('18.09.20', 804), ('sutton', 804), ('coldfield', 804), ('sold', 804), ('ou…', 791), ('burnley', 704), ('wolves', 554), ('vs', 362), ('1', 356), ('1-1', 324), ('penalty', 321), ('wood', 320), ('get', 259), ('⚽', 256), ('game', 236), ('late', 226), ('win', 221)]",4138,2020-07-15
29,CSGO,Esports,0.6144335838150304,326.3809248554913,707.5757225433526,581.8664739884392,"[('+', 1566), ('|', 1214), ('friend', 1019), ('like', 904), ('tag', 816), ('✅follow', 691), ('1', 642), ('✅retweet', 632), ('giveaway🐱', 626), ('retweet', 550), ('follow', 547), ('ak-47', 510), ('awp', 467), ('✅', 438), ('✅tag', 424), ('winner', 367), ('giveaway🔥', 326), ('(fn)', 308), ('hoursU0001f9e1', 285), ('🐱ends', 274), ('5', 259), ('🐱4$', 242), ('atheris(ft)', 242), ('flash', 242), ('✅activate', 242), ('notific…', 241), ('days🐱', 230), ('enter:', 228), ('friends', 218), ('enter', 199)]",1730,2020-07-15
30,Caltech,Universities,0.0,293.6666666666667,158.0,0.0,"[('motor', 6), ('boating', 6), ('mascot.', 6)]",6,2020-07-15
